pfr_player_id,pfr_player_name,player_id,pick,round,season,pass_attempt_difference,starting_team,is_on_new_team,total_pts,total_games,points_per_game,total_targets,targets_per_game,wopr_per_game,epa_per_game,air_yards_per_game,points_ly,targets_ly,targets_pg_ly,total_games_ly,points_2y,targets_2y,targets_pg_2y,total_games_2y,points_3y,targets_3y,targets_pg_3y,total_games_3y,epa_pg_ly,wopr_pg_ly,air_yards_pg_ly,wopr_pg_2y,wopr_pg_3y,years_pro,position,total_positional_investment,targets_added_this_year,target_dropoff,combine_cluster,pfr_id
BellDa02,David Bell,00-0037257,99,3,2023,0,CLE,0,7.300000000000001,3,2.4333333333333336,7,2.3333333333333335,0.12512360164006314,-0.8871783965926928,11,3.242857142857143,35,2.5,14,0,0,0,0,0,0,0,0,-0.7927952890853963,0.16461025958219647,17.857142857142858,0,0,1,WR,0.38,161,43,5,BellDa02
ShakKh00,Khalil Shakir,00-0037261,148,5,2022,0,BUF,0,34.1,10,3.41,20,2,0.1272882081682666,0.6693274182645771,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,74,184,4,ShakKh00
ShakKh00,Khalil Shakir,00-0037261,148,5,2023,0,BUF,0,36.7,7,5.242857142857143,15,2.142857142857143,0.13936330391927054,2.1444405672015514,17.857142857142858,3.41,20,2,10,0,0,0,0,0,0,0,0,0.6693274182645771,0.1272882081682666,19.5,0,0,1,WR,0.14,53,96,4,ShakKh00
WashMo00,Montrell Washington,00-0037272,162,5,2022,0,DEN,0,7.2,9,0.8,9,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,41,182,no_combine_cluster,NA
PhilKy01,Kyle Philips,00-0037273,163,5,2022,0,TEN,0,15.8,4,3.95,13,3.25,0.2573502262534224,-0.4838934059953317,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.79,150,295,4,PhilKy01
PhilKy01,Kyle Philips,00-0037273,163,5,2023,0,TEN,0,7,3,2.3333333333333335,6,2,0.16356239409343984,-1.150092037084202,14,3.95,13,3.25,4,0,0,0,0,0,0,0,0,-0.4838934059953317,0.2573502262534224,25,0,0,1,WR,0.05,174,190,4,PhilKy01
QuitTe00,Teagan Quitoriano,00-0037277,170,5,2022,0,HOU,0,30.3,7,4.328571428571428,14,2,0.15169910941401327,0.31375627451676075,23.571428571428573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,26,46,9,QuitTe00
QuitTe00,Teagan Quitoriano,00-0037277,170,5,2023,0,HOU,0,5.300000000000001,3,1.7666666666666668,3,1,0.0571423217049086,0.6908898715628311,5,4.328571428571428,14,2,7,0,0,0,0,0,0,0,0,0.31375627451676075,0.15169910941401327,23.571428571428573,0,0,1,TE,0,254,313,9,QuitTe00
MitcJa00,James Mitchell,00-0037282,177,5,2022,0,DET,0,28.3,8,3.5375,11,1.375,0.08863986132686041,1.251216485958139,6.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,22,59,8,MitcJa00
NailJa00,Jalen Nailor,00-0037291,191,6,2022,0,MIN,0,32.9,5,6.58,13,2.6,0.1968834398656942,1.5393515360425227,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,58,117,2,NailJa00
