"display_name","player_id","rookie_year","pro_fr_id"
"Zach Sudfeld","00-0029999",NA,NA
"Kenbrell Thompkins","00-0030000",2013,NA
"Da'Rick Rogers","00-0030043",NA,NA
"Corey Fuller","00-0030095",2013,NA
"Michael Williams","00-0030110",NA,NA
"Kevin Dorsey","00-0030116",NA,NA
"B.J. Daniels","00-0030120",2013,NA
"Justice Cunningham","00-0030129",NA,NA
"Russell Shepard","00-0030147",2013,NA
"Frankie Hammond","00-0030154",2013,NA
"Rico Richardson","00-0030162",NA,NA
"Ryan Spadola","00-0030175",2013,NA
"Rashad Ross","00-0030187",2013,NA
"Jake Stoneburner","00-0030272",NA,NA
"Myles White","00-0030274",2013,NA
"Jaron Brown","00-0030300",2013,NA
"Greg Jenkins","00-0030370",NA,NA
"Marlon Brown","00-0030400",2013,NA
"Justin Brown","00-0030466",NA,NA
"Jordan Thompson","00-0030647",NA,NA
"Jonathan Krause","00-0030659",2014,NA
"Bennie Fowler","00-0030670",2014,NA
"Isaiah Burse","00-0030671",2014,NA
"Jeremy Butler","00-0030691",2014,NA
"Freddie Martino","00-0030737",2014,NA
"Bernard Reedy","00-0030743",2014,NA
"Justin Perillo","00-0030758",NA,NA
"Ryan Hewitt","00-0030780",2014,NA
"Brandon Coleman","00-0030801",2014,NA
"Je'Ron Hamm","00-0030805",2014,NA
"Nic Jacobs","00-0030806",NA,NA
"Seantavius Jones","00-0030807",2014,NA
"Allen Hurns","00-0030821",2014,NA
"Marcel Jensen","00-0030822",NA,NA
"Asante Cleveland","00-0030832",2014,NA
"Solomon Patton","00-0030839",NA,NA
"Erik Swoope","00-0030854",2014,NA
"Tony Washington","00-0030856",2014,NA
"Gator Hoskins","00-0030865",NA,NA
"Corey Washington","00-0030897",2014,NA
"Javontee Herndon","00-0030920",2014,NA
"Xavier Grimble","00-0031035",2014,NA
"Corey Brown","00-0031118",2014,NA
"Seth Roberts","00-0031166",2014,NA
"Scott Simonson","00-0031167",2014,NA
"Taylor Gabriel","00-0031228",2014,NA
"Walt Powell","00-0031268",2014,NA
"Kevin Smith","00-0031320",NA,NA
"Kevin Norwood","00-0031327",2014,NA
"Jerome Cunningham","00-0031462",2014,NA
"DeAndrew White","00-0031511",2015,NA
"Quan Bray","00-0031514",2015,NA
"Randall Telfer","00-0031533",2015,NA
"Shane Wynn","00-0031684",2015,NA
"Jordan Taylor","00-0031697",2015,NA
"Connor Hamlett","00-0031732",2015,NA
"Matt LaCosse","00-0031744",2015,NA
"Lucky Whitehead","00-0031757",2015,NA
"Eli Rogers","00-0031782",2015,NA
"Matt Lengel","00-0031788",2015,NA
"Jordan Leslie","00-0031801",2015,NA
"Tyler Murphy","00-0031816",NA,NA
"Bradley Marquez","00-0031818",2015,NA
"Larry Pinkard","00-0031834",2015,NA
"Chris Harper","00-0031854",2015,NA
"Gabe Holmes","00-0031884",2015,NA
"Cameron Meredith","00-0031912",2015,NA
"Khari Lee","00-0031922",2015,NA
"Chandler Worthy","00-0031932",NA,NA
"E.J. Bibbs","00-0031968",2015,NA
"Darius Jennings","00-0031972",2015,NA
"Ben Edwards","00-0032001",NA,NA
"Will Tye","00-0032004",2015,NA
"Donteea Dye","00-0032008",2015,NA
"Isaac Fruechte","00-0032012",2015,NA
"Andrew Turzilli","00-0032045",2015,NA
"Dezmin Lewis","00-0032070",2015,NA
"Brian Parker","00-0032089",2015,NA
"Gerald Christian","00-0032190",2015,NA
"Kasen Williams","00-0032250",2015,NA
"Ross Travis","00-0032319",2016,NA
"Maurice Harris","00-0032362",2016,NA
"DeMarcus Ayers","00-0032365",2016,NA
"Malcolm Mitchell","00-0032400",2016,NA
"Tanner McEvoy","00-0032475",2016,NA
"Bralon Addison","00-0032482",2016,NA
"Hakeem Valles","00-0032508",2016,NA
"Braedon Bowman","00-0032515",2016,NA
"Henry Krieger-Coble","00-0032523",2016,NA
"Cole Wick","00-0032562",2016,NA
"Joshua Perkins","00-0032599",2016,NA
"Geronimo Allison","00-0032626",2016,NA
"David Grinnage","00-0032634",2016,NA
"Ryan Malleck","00-0032650",2016,NA
"Darius Powe","00-0032656",2016,NA
"Roger Lewis","00-0032659",2016,NA
"Ben Braunecker","00-0032661",2016,NA
"Paul McRoberts","00-0032679",2016,NA
"Jalin Marshall","00-0032694",2016,NA
"Ed Eagan","00-0032705",2016,NA
"Andy Jones","00-0032707",2016,NA
"Bryce Treggs","00-0032724",2016,NA
"Tevin Jones","00-0032728",2016,NA
"Wendall Williams","00-0032739",2016,NA
"Alan Cross","00-0032745",2016,NA
"Daniel Braverman","00-0032801",2016,NA
"Hunter Sharp","00-0032839",2016,NA
"Paul Turner","00-0032841",2016,NA
"Alex Ellis","00-0032864",2016,NA
"Tommylee Lewis","00-0032881",2016,NA
"K.J. Brent","00-0032926",2016,NA
"Johnny Holton","00-0032935",2016,NA
"Max McCaffrey","00-0032937",2016,NA
"Duke Williams","00-0032945",2016,NA
"Jordan Payton","00-0032974",2016,NA
"Austin Traylor","00-0033043",2016,NA
"Marquis Bundy","00-0033087",2016,NA
"Cyril Grayson","00-0033215",2017,NA
"JoJo Natson","00-0033266",2017,NA
"Victor Bolden","00-0033306",2017,NA
"Cole Hikutini","00-0033315",2017,NA
"Michael Clark","00-0033352",2017,NA
"Tim White","00-0033379",2017,NA
"Austin Carr","00-0033382",2017,NA
"Cody Hollister","00-0033386",2017,NA
"Bobo Wilson","00-0033434",2017,NA
"Keon Hatcher","00-0033441",2017,NA
"Isaac Whitney","00-0033449",2017,NA
"Gehrig Dieter","00-0033474",2017,NA
"Emanuel Byrd","00-0033514",2017,NA
"Krishawn Hogan","00-0033604",2017,NA
"Jason Croom","00-0033627",2017,NA
"Tanner Gentry","00-0033633",2017,NA
"Sean Culkin","00-0033696",2017,NA
"Andre Patton","00-0033705",2017,NA
"Travis Rudolph","00-0033717",2017,NA
"Tyrone Swoopes","00-0033742",2017,NA
"Riley McCarron","00-0033773",2017,NA
"Chris Thompson","00-0033855",2017,NA
"Fred Brown","00-0033994",2017,NA
"Rashard Davis","00-0034034",2017,NA
"River Cracraft","00-0034054",2017,NA
"Steven Mitchell","00-0034081",2018,NA
"Matt Flanagan","00-0034101",2018,NA
"Marcus Baugh","00-0034169",2018,NA
"Kevin Rader","00-0034193",2018,NA
"Jeff Badet","00-0034207",2018,NA
"Da'Mari Scott","00-0034256",2018,NA
"Derrick Willies","00-0034258",2018,NA
"Keith Kirkwood","00-0034317",2018,NA
"Deon Yelder","00-0034319",2018,NA
"Jalen Tolliver","00-0034489",2018,NA
"Jawill Davis","00-0034499",2018,NA
"Robert Foster","00-0034510",2018,NA
"Cam Phillips","00-0034512",2018,NA
"Jordan Franks","00-0034532",2018,NA
"J.J. Jones","00-0034560",2018,NA
"David Wells","00-0034575",2018,NA
"Chris Lacy","00-0034593",2018,NA
"Tanner Hudson","00-0034613",2018,NA
"Vyncint Smith","00-0034631",2018,NA
"Brandon Powell","00-0034646",2018,NA
"Cameron Batson","00-0034652",2018,NA
"Deontay Burnett","00-0034653",2018,NA
"Rico Gafford","00-0034660",2018,NA
"Ethan Wolf","00-0034672",2018,NA
"John Franklin","00-0034705",2018,NA
"Darvin Kidsy","00-0034710",2018,NA
"Codey McElroy","00-0034735",2018,NA
"Jaeden Graham","00-0034788",2018,NA
"KhaDarel Hodge","00-0034854",2018,NA
"Malik Turner","00-0034867",2018,NA
"Ishmael Hyman","00-0034922",2019,NA
"Andrew Beck","00-0034959",2019,NA
"Hale Hentges","00-0035025",2019,NA
"Stephen Carlson","00-0035039",2019,NA
"D.J. Montgomery","00-0035045",2019,NA
"Davion Davis","00-0035101",2019,NA
"Alexander Hollins","00-0035104",2019,NA
"Keelan Doss","00-0035120",2019,NA
"Antoine Wesley","00-0035126",2019,NA
"Cody Thompson","00-0035164",2019,NA
"Darrius Shepherd","00-0035181",2019,NA
"Trenton Irwin","00-0035341",2019,NA
"Chris Myarick","00-0035345",2019,NA
"Tyree Jackson","00-0035356",2019,NA
"David Sills","00-0035359",2019,NA
"Michael Walker","00-0035374",2019,NA
"Damion Willis","00-0035401",2019,NA
"Daniel Helm","00-0035428",2019,NA
"Jason Moore","00-0035432",2019,NA
"Greg Dortch","00-0035500",2019,NA
"Tom Kennedy","00-0035544",2019,NA
"Ventell Bryant","00-0035548",2019,NA
