pfr_player_id,pfr_player_name,player_id,pick,round,season,pass_attempt_difference,starting_team,is_on_new_team,total_pts,total_games,total_targets,total_wopr,total_rec,total_epa,total_air_yards,pro_fr_id,estimated_pfr_id,new_pfr_id,display_name,fixed_pfr_id,season_snaps,avg_snap_rate,snap_games_played,pts_per_snap,targets_per_snap,wopr_per_snap,catch_rate,points_per_game,targets_per_game,wopr_per_game,epa_per_game,air_yards_per_game,points_pg_ly,targets_ly,targets_pg_ly,total_games_ly,points_2y,targets_2y,targets_pg_2y,total_games_2y,points_3y,targets_3y,targets_pg_3y,total_games_3y,epa_pg_ly,wopr_pg_ly,air_yards_pg_ly,wopr_pg_2y,wopr_pg_3y,points_per_snap_ly,targets_per_snap_ly,wopr_per_snap_ly,total_snaps_ly,catch_rate_ly,total_pts_ly,years_pro,position,total_positional_investment,targets_added_this_year,fp_added_this_year,target_dropoff,fp_dropoff,combine_cluster,pfr_id,starter_qbr_ly,qbr_ly_bin,starter_epa_persnap_passing_ly,starter_epa_passing_ly,total_passing_tds_ly,total_passing_yds_ly,total_passing_fp_ly,coach,games_this_year,total_games_coached,is_returning_coach,hc_years_with_team
DickEd00,Ed Dickson,00-0027675,70,3,2015,0,CAR,no,43.66875,12,27.625,1.922436362404914,18.0625,4.034651703765986,182,DickEd00,0,DickEd00,0,0,635.375,68.83625145178097,17,0.05888252148997135,0.03724928366762178,0.0025921946568749892,0.4722222222222222,2.56875,1.625,0.11308449190617141,0.25216573148537413,11.375,1.71875,18.0625,1.0625,17,3.6437500000000003,45.6875,2.6875,17,3.3461538461538463,33,2.5384615384615383,13,0.445899100657698,0.06421810899342062,6,0.1535765138657377,0.1535765138657377,0.044141252006420544,0.027287319422150885,0.0016492612261552646,555.6875,0.37037037037037035,29.21875,5,TE,0.59,38.25,62.90000000000001,163.625,248.625,10,DickEd00,56.2,3,0.029392446633825942,19.018749999999997,28.6875,4539,296.31,Ron Rivera,16,140,1,5
DickEd00,Ed Dickson,00-0027675,70,3,2016,0,CAR,no,31.2375,12,20.1875,1.13486626060936,10.625,-2.986565332452301,168,DickEd00,0,DickEd00,0,0,507.875,69.49069819904514,17,0.05086505190311419,0.0328719723183391,0.0018479401760380376,0.3448275862068966,1.8375000000000001,1.1875,0.06675683885937411,-0.1866603332782688,10.5,2.56875,27.625,1.625,17,1.71875,18.0625,1.0625,17,3.6437500000000003,43,2.6875,16,0.25216573148537413,0.11308449190617141,11.375,0.06421810899342062,0.06421810899342062,0.05888252148997135,0.03724928366762178,0.0025921946568749892,635.375,0.4722222222222222,43.66875,6,TE,0.04,0,0,59.5,115.9187499999999,10,DickEd00,61.4,5,0.06835260115606936,50.256249999999994,40.375,4923.625,358.445,Ron Rivera,16,140,1,6
DickEd00,Ed Dickson,00-0027675,70,3,2017,0,CAR,no,84.68124999999999,14,51,3.607150306791157,31.875,17.288705738057615,451,DickEd00,0,DickEd00,0,0,924.375,66.63410556284603,17,0.08216494845360824,0.049484536082474224,0.003499963911986568,0.5172413793103449,4.981249999999999,3,0.21218531216418568,1.080544108628601,28.1875,1.8375000000000001,20.1875,1.1875,17,2.56875,27.625,1.625,17,1.71875,17,1.0625,16,-0.1866603332782688,0.06675683885937411,10.5,0.11308449190617141,0.11308449190617141,0.05086505190311419,0.0328719723183391,0.0018479401760380376,507.875,0.3448275862068966,31.2375,7,TE,0,42.5,74.375,157.25,236.08750000000003,10,DickEd00,47.1,2,0.03647234678624813,25.924999999999997,22.3125,4209.625,257.635,Ron Rivera,16,140,1,7
DickEd00,Ed Dickson,00-0027675,70,3,2018,54,SEA,yes,48.025,9,13.8125,0,12.75,0,71,DickEd00,0,DickEd00,0,0,386.75,68.67757377550345,10.625,0.09741379310344826,0.028017241379310345,0,0.5217391304347826,4.52,1.3,0,0,7.1,4.981249999999999,51,3,17,1.8375000000000001,20.1875,1.1875,17,2.56875,26,1.625,16,1.080544108628601,0.21218531216418568,28.1875,0.06675683885937411,0.06675683885937411,0.08216494845360824,0.049484536082474224,0.003499963911986568,924.375,0.5172413793103449,84.68124999999999,8,TE,0.21,173.1875,235.2375,233.75,428.1875,10,DickEd00,62.4,5,0.07941988950276244,61.09375,36.125,4227.6875,313.60749999999996,Pete Carroll,16,218,1,9
WillDa04,Damian Williams,00-0027893,77,3,2013,0,TEN,no,34.85,8,24.4375,1.9179479727656452,15.9375,8.995162860141136,266,WillDa04,0,WillDa04,0,0,245.4375,68.99719906598557,10.625,0.09909365558912388,0.06948640483383686,0.005453557413230909,0.45454545454545453,3.2800000000000002,2.3,0.18051275037794307,0.8995162860141136,26.6,4.8,47.8125,3.4615384615384617,13.8125,0,0,0,0,0,0,0,0,-1.107419042604448,0.22455771618034473,32.46153846153846,0,0,0.13027139874739038,0.09394572025052192,0.006094468288819377,402.6875,0.5454545454545454,66.3,3,WR,0.64,42.5,75.86250000000001,88.1875,137.59375,6,WillDa04,NA,other,0,0,18.0625,3800.5625,224.2725,Mike Munchak,16,48,1,3
WillDa04,Damian Williams,00-0027893,77,3,2014,61,MIA,yes,2.5500000000000003,1,1.0625,0.08657038123167154,1.0625,2.0191807289374992,13,WillDa04,0,WillDa04,0,0,1.0625,50,1.0625,0.023762376237623766,0.009900990099009901,8.067129293574518e-4,0.09090909090909091,2.4000000000000004,1,0.08147800586510263,2.0191807289374992,13,3.2800000000000002,24.4375,2.3,10.625,4.8,47.8125,3.4615384615384617,13.8125,0,0,0,0,0.8995162860141136,0.18051275037794307,26.6,0.22455771618034473,0.22455771618034473,0.09909365558912388,0.06948640483383686,0.005453557413230909,245.4375,0.45454545454545453,34.85,4,WR,0.53,24.4375,34.85,39.3125,56.84375,6,WillDa04,48.4,2,0.03042857142857143,22.63125,25.5,4213.875,270.555,Joe Philbin,16,52,1,3
LaFeBr00,Brandon LaFell,00-0027681,78,3,2013,0,CAR,no,152.14999999999998,15,90.3125,7.3165296149936765,52.0625,3.232636253317544,977,LaFeBr00,0,LaFeBr00,0,0,963.6875,64.28468376967417,17,0.14220456802383316,0.08440913604766634,0.006838277576955361,0.5157894736842106,8.95,5.3125,0.43038409499962804,0.2020397658323465,61.0625,9.942857142857145,80.75,5.428571428571429,14.875,0,0,0,0,0,0,0,0,0.9510457099582299,0.41346863534900746,54.642857142857146,0,0,0.16242707117852978,0.08868144690781797,0.006754446785164649,804.3125,0.5116279069767442,147.9,3,WR,0,66.9375,117.40624999999999,79.6875,111.98749999999998,6,LaFeBr00,55.7,3,0.02998522895125554,21.56875,20.1875,4172.4375,247.6475,Ron Rivera,16,140,1,3
LaFeBr00,Brandon LaFell,00-0027681,78,3,2014,155,NE,yes,223.76250000000002,15,126.4375,8.044913144084783,78.625,16.668912402021824,1265,LaFeBr00,0,LaFeBr00,0,0,970.0625,70.96744829448194,17,0.2078973346495558,0.11747285291214216,0.007474514273582053,0.5736434108527132,13.162500000000001,7.4375,0.4732301849461637,1.041807025126364,79.0625,8.95,90.3125,5.3125,17,9.942857142857145,80.75,5.428571428571429,14.875,0,0,0,0,0.2020397658323465,0.43038409499962804,61.0625,0.41346863534900746,0.41346863534900746,0.14220456802383316,0.08440913604766634,0.006838277576955361,963.6875,0.5157894736842106,152.14999999999998,4,WR,0.04,175.3125,305.68125,37.1875,45.68750000000012,6,LaFeBr00,63.1,5,0.07174211248285323,55.568749999999994,27.625,5119.125,315.26500000000004,Bill Belichick,16,379,1,15
LaFeBr00,Brandon LaFell,00-0027681,78,3,2015,0,NE,no,94.98750000000001,11,78.625,5.226800750410835,39.3125,-1.9704607857805065,1006,LaFeBr00,0,LaFeBr00,0,0,701.25,69.20594567214093,11.6875,0.11763157894736843,0.09736842105263158,0.006472818266762643,0.44047619047619047,8.127272727272727,6.7272727272727275,0.44721289843087353,-0.17913279870731877,91.45454545454545,13.162500000000001,126.4375,7.4375,17,8.95,90.3125,5.3125,17,9.942857142857145,76,5.428571428571429,14,1.041807025126364,0.4732301849461637,79.0625,0.43038409499962804,0.43038409499962804,0.2078973346495558,0.11747285291214216,0.007474514273582053,970.0625,0.5736434108527132,223.76250000000002,5,WR,0,140.25,213.03125000000003,53.125,121.44375000000008,6,LaFeBr00,77.2,8,0.12348596750369276,88.82499999999999,47.8125,5591.9375,414.9275,Bill Belichick,16,379,1,16
LaFeBr00,Brandon LaFell,00-0027681,78,3,2016,-124,CIN,yes,197.62499999999997,16,113.6875,8.536536379365586,68,30.63561689877698,1071,LaFeBr00,0,LaFeBr00,0,0,1074.1875,67.94247487641249,17,0.1674167416741674,0.0963096309630963,0.007231671629684406,0.5470085470085471,11.624999999999998,6.6875,0.5021491987862109,1.9147260561735613,66.9375,8.127272727272727,78.625,6.7272727272727275,11.6875,13.162500000000001,126.4375,7.4375,17,8.95,85,5.3125,16,-0.17913279870731877,0.44721289843087353,91.45454545454545,0.4732301849461637,0.4732301849461637,0.11763157894736843,0.09736842105263158,0.006472818266762643,701.25,0.44047619047619047,94.98750000000001,6,WR,0.56,78.625,94.98750000000001,165.75,299.4125000000001,6,LaFeBr00,72.5,8,0.1065439672801636,55.35625,34,4585.75,319.43,Marvin Lewis,16,256,1,14
