pfr_player_id,pfr_player_name,player_id,pick,round,season,pass_attempt_difference,starting_team,is_on_new_team,total_pts,total_games,points_per_game,total_targets,targets_per_game,wopr_per_game,epa_per_game,air_yards_per_game,total_wopr,pro_fr_id,estimated_pfr_id,new_pfr_id,display_name,fixed_pfr_id,season_snaps,avg_snap_rate,pts_per_snap,targets_per_snap,wopr_per_snap,points_ly,targets_ly,targets_pg_ly,total_games_ly,points_2y,targets_2y,targets_pg_2y,total_games_2y,points_3y,targets_3y,targets_pg_3y,total_games_3y,epa_pg_ly,wopr_pg_ly,air_yards_pg_ly,wopr_pg_2y,wopr_pg_3y,points_per_snap_ly,targets_per_snap_ly,wopr_per_snap_ly,total_snaps_ly,years_pro,position,total_positional_investment,targets_added_this_year,target_dropoff,combine_cluster,pfr_id,starter_qbr_ly,qbr_ly_bin
OlavCh00,Chris Olave,00-0037239,11,1,2022,0,NO,0,198.2,15,13.213333333333333,119,7.933333333333334,0.6725229253489485,1.5868899940847263,112.4,10.087843880234228,OlavCh00,0,OlavCh00,0,0,607,61.77973629302674,0.2803394625176803,0.16831683168316833,0.014268520339793816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,94,82,2,OlavCh00,NA,other
OlavCh00,Chris Olave,00-0037239,11,1,2023,0,NO,0,139.70000000000002,10,13.970000000000002,94,9.4,0.6791450407388955,1.3556073546950576,129.6,6.791450407388955,OlavCh00,0,OlavCh00,0,0,510,71.35266520537067,0.22901639344262298,0.1540983606557377,0.01113352525801468,13.213333333333333,119,7.933333333333334,15,0,0,0,0,0,0,0,0,1.5868899940847263,0.6725229253489485,112.4,0,0,0.2803394625176803,0.16831683168316833,0.014268520339793816,607,1,WR,0.08,54,140,2,OlavCh00,57.6,4
WillJa11,Jameson Williams,00-0037240,12,1,2022,0,DET,0,15.100000000000001,6,2.516666666666667,9,1.5,0.1472419481967592,-0.22494202066445723,24.666666666666668,0.8834516891805552,WillJa11,0,WillJa11,0,0,78,68.12921005722863,0.08483146067415731,0.05056179775280899,0.004963211736969411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,22,59,6,WillJa11,45.5,1
WillJa11,Jameson Williams,00-0037240,12,1,2023,0,DET,0,19.1,4,4.775,15,3.75,0.28849532376575315,-0.8712177974230144,58.75,1.1539812950630126,WillJa11,0,WillJa11,0,0,111,72.28492136910268,0.09052132701421801,0.07109004739336493,0.005469105663805747,2.516666666666667,9,1.5,6,0,0,0,0,0,0,0,0,-0.22494202066445723,0.1472419481967592,24.666666666666668,0,0,0.08483146067415731,0.05056179775280899,0.004963211736969411,78,1,WR,0.06,81,97,6,WillJa11,63.3,5
PickGe00,George Pickens,00-0037247,52,2,2022,0,PIT,0,166.5,17,9.794117647058824,84,4.9411764705882355,0.4378581880203153,2.6056535013120117,72.94117647058823,7.44358919634536,PickGe00,0,PickGe00,0,0,882,68.24929270229113,0.1695519348268839,0.0855397148676171,0.007580029731512586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.16,4,171,4,PickGe00,NA,other
PickGe00,George Pickens,00-0037247,52,2,2023,0,PIT,0,109.20000000000002,9,12.133333333333335,62,6.888888888888889,0.6389604468338264,0.999158212300158,87.77777777777777,5.750644021504437,PickGe00,0,PickGe00,0,0,446,61.83170093028699,0.20000000000000004,0.11355311355311355,0.010532315057700433,9.794117647058824,84,4.9411764705882355,17,0,0,0,0,0,0,0,0,2.6056535013120117,0.4378581880203153,72.94117647058823,0,0,0.1695519348268839,0.0855397148676171,0.007580029731512586,882,1,WR,0,52,47,4,PickGe00,53.6,3
DulcGr00,Greg Dulcich,00-0037252,80,3,2022,0,DEN,0,86.10000000000001,10,8.610000000000001,55,5.5,0.4228632968345635,0.046830821826852366,62.4,4.228632968345635,DulcGr00,0,DulcGr00,0,0,497,66.31179172916231,0.1442211055276382,0.09212730318257957,0.007083137300411449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,41,182,10,DulcGr00,60.6,5
DulcGr00,Greg Dulcich,00-0037252,80,3,2023,0,DEN,0,5.5,2,2.75,4,2,0.177401418026418,-2.0787805774307344,11.5,0.354802836052836,DulcGr00,0,DulcGr00,0,0,32,58.008658008658,0.041666666666666664,0.030303030303030304,0.0026879002731275458,8.610000000000001,55,5.5,10,0,0,0,0,0,0,0,0,0.046830821826852366,0.4228632968345635,62.4,0,0,0.1442211055276382,0.09212730318257957,0.007083137300411449,497,1,TE,0,74,140,10,DulcGr00,38.7,1
BellDa02,David Bell,00-0037257,99,3,2022,0,CLE,0,45.4,14,3.242857142857143,35,2.5,0.16461025958219647,-0.7927952890853963,17.857142857142858,2.3045436341507504,BellDa02,0,BellDa02,0,0,516,69.0120046169324,0.0737012987012987,0.056818181818181816,0.0037411422632317374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.07,104,199,5,BellDa02,52.1,3
BellDa02,David Bell,00-0037257,99,3,2023,0,CLE,0,7.300000000000001,3,2.4333333333333336,7,2.3333333333333335,0.12512360164006314,-0.8871783965926928,11,0.3753708049201894,BellDa02,0,BellDa02,0,0,55,74.43746729461014,0.047096774193548394,0.04516129032258064,0.002421747128517351,3.242857142857143,35,2.5,14,0,0,0,0,0,0,0,0,-0.7927952890853963,0.16461025958219647,17.857142857142858,0,0,0.0737012987012987,0.056818181818181816,0.0037411422632317374,516,1,WR,0.38,178,43,5,BellDa02,63.7,6
