round,points_per_game,points_pg_ly,targets_pg_ly,wopr_pg_ly,pick,air_yards_pg_ly,total_games_ly,pass_attempt_difference,total_positional_investment,target_dropoff,epa_pg_ly,years_pro,targets_added_this_year,is_on_new_team,points_per_snap_ly,targets_per_snap_ly,wopr_per_snap_ly,total_snaps_ly,total_passing_tds_ly,total_passing_yds_ly,total_passing_fp_ly,is_returning_coach,hc_years_with_team,catch_rate_ly,position,fp_dropoff,starter_epa_passing_ly,starter_epa_persnap_passing_ly,combine_cluster,qbr_ly_bin,points_2y,total_games_2y,points_3y,total_games_3y,targets_pg_2y,targets_pg_3y,wopr_pg_2y,wopr_pg_3y,player_id,season,pfr_player_name
3,12.881250000000001,14.49375,9.3125,0.48313216255674535,69,74.4375,17,0,0.54,127.56640625,2.393542914431845,10,0,no,0.19669211195928754,0.1263782866836302,0.006556500933764144,1146.4375,30.8125,5304,335.41,1,4,0.6918238993710691,TE,451.11093750000003,70.76249999999999,0.08821192052980131,9,6,0,0,0,0,0,0,0,0,00-0022127,2013,Jason Witten
3,10.268749999999999,12.881250000000001,6.9375,0.4151901166897151,69,56.9375,17,0,0,193.04296875,2.2418360435334677,11,0,no,0.18995391705069126,0.10230414746543778,0.00612261923229073,1046.5625,35.0625,4490.125,319.85499999999996,1,5,0.6033057851239669,TE,355.94414062499993,51.743750000000006,0.07829581993569132,9,5,14.49375,17,0,0,9.3125,0,0.48313216255674535,0.48313216255674535,00-0022127,2014,Jason Witten
3,10.268749999999999,10.268749999999999,5.625,0.43716509162745143,69,51.9375,17,0,0.04,30.48046875,2.463784619908056,12,40.640625,no,0.14299390774586596,0.0783289817232376,0.0060875904839331795,1114.5625,43.5625,4772.75,365.16,1,6,0.64,TE,296.11210937500005,0,0,9,other,12.881250000000001,17,14.49375,16,6.9375,9.3125,0.4151901166897151,0.4151901166897151,00-0022127,2015,Jason Witten
3,9.51875,10.268749999999999,6.5,0.4421064988453595,69,45.4375,17,0,0.06,-33.8671875,-0.1595340213666357,13,0,no,0.14669642857142856,0.09285714285714286,0.006315807126362279,1083.75,17,3906.8125,224.2725,1,7,0.6754385964912281,TE,-255.81015624999992,0,0,9,no_history,10.268749999999999,17,12.881250000000001,16,5.625,6.9375,0.43716509162745143,0.43716509162745143,00-0022127,2016,Jason Witten
3,9.1875,9.51875,5.9375,0.395345346349528,69,37.25,17,0,0,0,1.4073998239050316,14,0,no,0.13646953405017923,0.08512544802867383,0.005668033639419756,1079.5,29.75,4357.3125,293.29249999999996,1,8,0.6571428571428571,TE,117.29335937499982,75.54374999999999,0.12430069930069929,9,8,10.268749999999999,17,10.268749999999999,16,6.5,5.625,0.4421064988453595,0.4421064988453595,00-0022127,2017,Jason Witten
3,8.74375,9.1875,5.4375,0.3775766065872416,69,37.625,17,0,0,229.16796875,1.0802325617470667,16,68.86328125,no,0.12804878048780488,0.07578397212543554,0.005262391729438908,1113.5,25.5,4650.5625,288.02250000000004,1,10,0.6494845360824743,TE,436.2319531249999,37.29375,0.05064935064935065,9,3,9.51875,17,10.268749999999999,16,5.9375,6.5,0.395345346349528,0.395345346349528,00-0022127,2019,Jason Witten
3,1.9937500000000001,8.74375,5.1875,0.29898682725161424,69,34.125,17,-74,0,81.28125,1.2026061819910638,17,171.59375,yes,0.14804232804232806,0.08783068783068783,0.005062210831773363,897.8125,23.375,4366.875,268.175,1,5,0.6774193548387096,TE,268.34101562500024,57.587500000000006,0.09063545150501673,9,6,9.1875,17,9.51875,16,5.4375,5.9375,0.3775766065872416,0.3775766065872416,00-0022127,2020,Jason Witten
3,10.033333333333333,11.633333333333333,7.166666666666667,0.32647931543883196,71,53.333333333333336,6.375,0,0.11,217.87890625,1.981464733897222,10,16.93359375,no,0.1530701754385965,0.09429824561403509,0.004295780466300421,378.25,23.375,5460.1875,311.9075,1,5,0.5094339622641509,WR,432.48398437500003,54.400000000000006,0.06213592233009709,2,4,0,0,0,0,0,0,0,0,00-0021999,2013,Nate Burleson
3,2.2,0,0.25,0.016435185185185185,91,3.25,4.25,-101,0,54.1875,-0.8201604850764852,10,45.15625,yes,0,0.006369426751592357,4.187308327435716e-4,60.5625,18.0625,3800.5625,224.2725,1,3,0,TE,194.39765624999998,0,0,8,other,0,0,0,0,0,0,0,0,00-0022054,2013,Visanthe Shiancoe
4,3.528571428571429,11.81875,8.125,0.5157452292479976,124,108.75,17,0,0.25,14.67578125,2.396528837151822,11,114.01953125,no,0.16573181419807187,0.11393514460999124,0.007232185510927223,1106.0625,25.5,4022.625,262.905,1,4,0.5285714285714286,WR,54.1875,27.09375,0.04411764705882353,4,6,0,0,0,0,0,0,0,0,00-0022097,2014,Brandon Lloyd
